	beer_name	abv	brewery	type
26207	Beach	4.00	Carton Brewing Company	American Pale Ale (APA)
26208	Stone / Beavertown / Garage Project - Fruitallica	8.00	Stone Brewing	American Imperial IPA
26209	Pine Mountain Pils	5.20	Deschutes Brewery	German Pilsner
26210	Lush Milkshake IPA	6.50	Rochester Mills Beer Co.	New England IPA
26211	Triple 7 Marker Pale Ale	5.60	Triple 7 Restaurant and Brewery	American Pale Ale (APA)
26212	Pilsner	4.90	Yokohama Bay Brewery	Bohemian Pilsener
26213	3XIPA	9.50	Southern Tier Brewing Company	American Imperial IPA
26214	Roasted Pueblo Chili Ale	4.80	Luminous Brewhouse	Chile Beer
26215	Wilco Tango Foxtrot	7.85	Lagunitas Brewing Company	American Brown Ale
26216	Stelliger Divum Juleøl	19.00	Berentsens Brygghus	German Doppelbock
26217	Yankee White IPA	5.00	Rascals Brewing Company	American IPA
26218	Evil Twin / _____ (Blank) - The Check Please	7.00	Evil Twin Brewing	American Black Ale
26219	Magic Trap	8.50	Cervejaria Hocus Pocus	Belgian Strong Pale Ale
26220	Double Cannon Double IPA	9.50	Heavy Seas Beer	American Imperial IPA
26221	Totemic Table Saison	4.20	Calusa Brewing	Belgian Saison
26222	Belge D’Or Blanc	7.90	7venth (Seventh) Sun Brewery	Belgian Strong Pale Ale
26223	Trellis Buster	8.50	Crooked Stave Artisan Beer Project	American Imperial IPA
26224	Invicta 1000 IBU	8.00	Cervejaria Invicta	American IPA
26225	Operation Juice Drop	7.00	Spindletap Brewery	New England IPA
26226	Electric Velvet	10.00	Seperatist Beer Project / Separatist Bar + Bottle	American Imperial Stout
26227	Pinks & Greens	6.20	Ellipsis Brewing	American IPA
26228	Las Tumbas	7.50	Braven Brewing Company	American Stout
26229	Sunbather (Batch # 3 - Mosaic)	4.20	Angel City Brewery	American Pale Ale (APA)
26230	Miller Ultra	2.80	Miller Brewing Co.	American Light Lager
26231	Santa Lucia IPA	7.00	Firestone Walker Brewing Co.	American IPA
26232	Coconut Milk Stout	8.50	Untitled Art	English Sweet / Milk Stout
26233	Black Quad	10.50	Real Ale Brewing Company	Belgian Quadrupel (Quad)
26234	Fairweather IPA	6.10	Broken Tooth Brewing	American IPA
26235	Aerialist Spring Lager	5.50	Hi-Wire Brewing	American Lager
26236	New Westy IPA	7.00	Bare Hands Brewery	American IPA
26237	MadTree / Fat Heads - Lupulin Effect	8.10	MadTree Brewing	American Imperial IPA
26238	Crickets (Motueka)	5.10	Other Half Brewing Co.	German Pilsner
26239	Ectoplasmic Orange	8.70	Decadent Ales	American Imperial IPA
26240	Beer Hop Breakfast - Black IPA	7.50	Mikkeller ApS	American Black Ale
26241	Aunt Sally	5.70	Lagunitas Brewing Company	American Wild Ale
26242	Speedway Stout - Chili Mango	?	AleSmith Brewing Company	American Imperial Stout
26243	(203) IPA	6.10	Stony Creek Brewery	American IPA
26244	Vermont Maple DIPA	9.20	Decadent Ales	American Imperial IPA
26245	Galactic Falconer IPA	6.00	Junkyard Brewing Company	American IPA
26246	Fancy Boy New England IPA	6.60	Blackstone Restaurant & Brewery	New England IPA
26247	Prohibition Ale	6.10	Speakeasy Ales & Lagers	American Amber / Red Ale
26248	Red Eye Rye	6.90	Flying Dreams Brewing Co.	Rye Beer
26249	Doppel-Hirsch	7.20	Der HirschBrau/Privatbrauerei Höss	German Doppelbock
26250	Craic Stout	4.60	Devils Backbone Brewing Company	Irish Dry Stout
26251	Never Tell Me the Odds Double IPA	8.00	DuClaw Brewing Company	American Imperial IPA
26252	BushWacker	?	Witch's Hat Brewing Co.	American Imperial Stout
26253	Nightmare On 1st Street	9.27	No Label Brewing Company	Pumpkin Beer
26254	Pillow Talk Robust Porter	5.70	Grindhaus Brew Lab	English Porter
26255	Surfside Wheat Ale	4.80	Chandeleur Brewing Company	American Pale Wheat Ale
26256	The Spice Principle	5.60	Beau's All Natural Brewing Company	Herb and Spice Beer
26257	Super Supernaut	8.20	New England Brewing Co.	American Imperial IPA
26258	Cassiopeia	8.00	Pueblo Vida Brewing Company	American Imperial IPA
26259	Mala Vida Brandy	11.00	Companyia Cervesera del Montseny	American Imperial Stout
26260	Imperial Macchiato	10.00	Wylam Brewery	American Imperial Porter
26261	Veritas 018	6.50	The Lost Abbey	American Wild Ale
26262	All Time Special Farmhouse Saison	6.50	M.Special Brew Co.	Belgian Saison
26263	Streaker	6.00	Rhinegeist Brewery	American IPA
26264	Wet	6.10	Surly Brewing Company	American IPA
26265	Confectioner Series 001 Creme Brulee Blonde Stout	7.00	D9 Brewing Company	American Stout
26266	Color Field	5.20	Grimm Artisanal Ales	American Wild Ale
26267	Humanimal Stasis	?	Heavy Gem	American Imperial IPA
26268	Saison Renaud	6.50	Mystic Brewery	Belgian Saison
26269	Colorado Wild Sage Brett Saison	7.20	Crooked Stave Artisan Beer Project	Belgian Saison
26270	Farmhouse IPA	7.20	Tom's Tap and Brewhouse	American Brut IPA
26271	Tsjeeses Belgian X-Mas Ale	10.00	De Struise Brouwers	Belgian Strong Pale Ale
26272	Saphir Clouds (Small Batch IPA Series)	6.25	Platform Beer Co.	American IPA
26273	Yer Bu	2.30	de Garde Brewing	Berliner Weisse
26274	Thirsty Eyes	8.30	Moksa Brewing Company	New England IPA
26275	Leopoldina Red Ale	6.50	Cervejaria Leopoldina	Irish Red Ale
26276	Mirrorshield	7.00	Hudson Valley Brewery	New England IPA
26277	Triple Barrel Big Bad Baptist	11.20	Epic Brewing Company	American Imperial Stout
26278	Budweiser Select	4.30	Anheuser-Busch	American Light Lager
26279	Bison Organic Hop Cuvée West Coast Ale	5.50	Bison Brewing	American Pale Ale (APA)
26280	Mr. Strawberry	5.20	Highway Manor Brewing	American Wild Ale
26281	You're In The Jungle Baby!	12.00	Evil Twin Brewing	American Imperial Stout
26282	Belvidere Big IPA	8.00	Rock Art Brewery	American Imperial IPA
26283	Toxic Zombie	5.40	Black Sky Brewery	American Pale Ale (APA)
26284	La Soledad	5.50	Mystic Brewery	French Bière de Garde
26285	Autumn 2011 Farmhouse Ale	7.00	Almanac Beer Co.	Belgian Saison
26286	Extra Strong Bitter	6.20	Zymurcracy Beer Company	English Extra Special / Strong Bitter (ESB)
26287	Crazy Farm	6.00	Prairie Sun Brewery	Belgian Saison
26288	Super Jackie	7.30	True Respite Brewing Company	American Imperial IPA
26289	Winter Time	5.40	Meantime Brewing Company Limited	English Porter
26290	Pool Boy	6.00	RJ Rockers Brewing Company	American Pale Ale (APA)
26291	Lord Whangdoodle	11.50	The Veil Brewing Co.	American Imperial Stout
26292	Flex IPA	7.10	Taps Fish House & Brewery	American IPA
26293	Man Eater	8.30	Hi-Wire Brewing	American Imperial IPA
26294	Sliderule	4.90	Urban Artifact	Leipzig Gose
26295	Session Tangerine Twist	5.20	Full Sail Brewing Company	Fruit and Field Beer
26296	(512) NINE	6.80	(512) Brewing Company	Belgian Saison
26297	In the Flesh Guava	4.10	Two Brothers Brewing Company	American Wild Ale
26298	Gin Barrel Aged Emperor Hanzo	9.40	The Blind Pig Brewery	American Imperial IPA
26299	Erdinger Weissbier	5.60	Erdinger Weissbräu	German Hefeweizen
26300	Batch 2 (Pale Ale)	5.30	Fieldwork Brewing Co.	American Pale Ale (APA)
26301	Farmhouse Tripel	8.80	Hermit Thrush Brewery	Belgian Tripel
26302	The White Wit	5.00	Something Brewing	Belgian Witbier
26303	Vanilla Bean Coffee Juele	4.50	4204 Main Street Brewing Co.	American Blonde Ale
26304	Vortex IPA	7.70	Fort George Brewery + Public House	American IPA
26305	Mandala - Columbus	9.00	Jackie O's Pub & Brewery	American Imperial IPA
26306	Speed Merchant White IPA	6.60	Platform Beer Co.	American IPA
26307	Playback with a twist	6.00	Kent Falls Brewing Company	American Imperial IPA
26308	Red Dragon Ale	7.00	Cortland Beer Company	American Amber / Red Ale
26309	Merlot You Didn't	7.80	The Rare Barrel	American Wild Ale
26310	Happy Holidaze (2018)	7.30	Tired Hands Brewing Company	American IPA
26311	Boréale IPA	6.20	Brasseurs Du Nord Inc.	American IPA
26312	Sonoran Prince	?	Arizona Wilderness Brewing Co.	American Wild Ale
26313	Big Bad Baptist Reserve	11.70	Epic Brewing Company	American Imperial Stout
26314	Cran-Lemon	5.00	Darwin Brewing Company	American Pale Wheat Ale
26315	Single Shot	6.40	Tree House Brewing Company	English Sweet / Milk Stout
26316	Miles From Nowhere	8.50	LIC Beer Project	American Imperial IPA
26317	Potosi Cave Ale Amber Ale	5.50	Potosi Brewing Company	American Amber / Red Ale
26318	Prince Mango	8.00	Memphis Made Brewing Company	American IPA
26319	John Martin's IPA	6.90	John Martin's (John Martin SA)	English India Pale Ale (IPA)
26320	Wedge Iron Rail IPA	6.20	Wedge Brewing Company	American IPA
26321	Dark Noon	11.50	Big Muddy Brewing	Russian Imperial Stout
26322	XHops - Silver	5.30	Toppling Goliath Brewing Company	American Pale Ale (APA)
26323	Straight Juice No Chaser	6.80	One World Brewing	American IPA
26324	Fat Altbier	5.10	Swashbuckler Brewing Co, LTD	German Altbier
26325	Extra 4 Belgian Abbey Ale	4.80	Brouwerij St. Bernardus NV	Belgian Pale Ale
26326	The Hop Concept / Cellarmaker - Collaboration Interview	7.50	The Hop Concept Brewing	American IPA
26327	Boaks Monster Mash Imperial Stout	10.00	Boak Beverage	Russian Imperial Stout
26328	Speedway Stout - Vietnamese Coffee	12.00	AleSmith Brewing Company	American Imperial Stout
26329	Smoked Porter	5.00	Stewart's Brewing Co.	Smoke Porter
26330	The Dopeness	9.00	Fieldwork Brewing Co.	American Imperial IPA
26331	Blueberry Thyme Saison	9.10	Terrapin Beer Company	Belgian Saison
26332	Tri Combs	8.00	Goodfire Brewing Company	American Imperial IPA
26333	Jasne	5.70	Browar Łomża Sp. z o.o.	European Pale Lager
26334	Bamboozled by Hops	6.00	Barrel House Z (BHZ)	American IPA
26335	Devil's Teeth - Pistachio And Coconut	12.90	Modern Times Beer	English Old Ale
26336	County One	6.50	Skull Tree Brewing	American Blonde Ale
26337	This Town	4.90	Carton Brewing Company	German Helles
26338	Heavy Weight Of Sound	11.20	Beer'd Brewing Co.	American Imperial IPA
26339	Black Marlin	6.00	Ballast Point Brewing Company	American Porter
26340	Steam Brew German Red	7.90	Privatbrauerei Eichbaum GmbH & Co. KG	German Bock
26341	Shaking Through	8.50	Bluejacket / Arsenal Restaurant	Belgian Tripel
26342	Fantasy Nerd #3	6.50	Sloop Brewing	American IPA
26343	Door Kriek (Funk Factory Geuzeria Collaboration)	5.50	O'so Brewing Company & Tap House	Belgian Fruit Lambic
26344	Whiskey Jack Ale	5.00	Whistler Brewing Company	English Pale Ale
26345	Clear Sky Cinnamon Toast Brunch	5.00	Wolf's Ridge Brewing	American Cream Ale
26346	Freestyle Pilsner	5.50	Santa Fe Brewing Company	German Pilsner
26347	DDH Saturation	5.50	Mystic Brewery	American Pale Ale (APA)
26348	R&D Gotlandic	7.00	New Glarus Brewing Company	Smoke Beer
26349	Malört Barrel Aged Dark Lord	15.00	3 Floyds Brewing Co.	Russian Imperial Stout
26350	Part & Parcel	5.50	Jester King Brewery	Belgian Saison
26351	Stout Rullquin	7.00	Gueuzerie Tilquin	American Wild Ale
26352	Furth	5.50	Night Shift Brewing	German Hefeweizen
26353	James Bean Vanilla Oatmeal Porter	8.20	James River Brewery	American Imperial Porter
26354	Samuel Adams Cream Stout	4.90	Boston Beer Company (Samuel Adams)	English Sweet / Milk Stout
26355	Benthic	12.80	Half Acre Beer Company	American Imperial Stout
26356	Redhook Out Of Your Gourd Pumpkin Porter	5.80	Redhook Ale Brewery	Pumpkin Beer
26357	Cafe Con Leche Stout	6.00	Cigar City Brewing	English Sweet / Milk Stout
26358	Bink Bloesem (Bloesembink)	7.10	Brouwerij Kerkom	Fruit and Field Beer
26359	18LB Porter	11.00	Georgetown Brewing Company	American Imperial Porter
26360	Dead Guy Ale	6.80	Rogue Ales	German Maibock
26361	Double Bean Blonde Ale	6.30	The Schlafly Tap Room	American Blonde Ale
26362	Expressionism - Mocha	?	Tree House Brewing Company	American Imperial Stout
26363	Umbrella New World IPA	7.40	Pelican Pub & Brewery	American IPA
26364	Baby Blue	6.00	Great Notion Brewing	American IPA
26365	Vertigogo	7.80	Hacienda Beer Co.	English Sweet / Milk Stout
26366	Salty Dog	13.50	Transient Artisan Ales	American Imperial Stout
26367	Passionfruit Margarita	5.50	West Sixth Brewing Company	American Wild Ale
26368	Crazy Moose	5.50	Konix Brewery	American Pale Ale (APA)
26369	King of Troy	6.00	Moontown Brewing	European Export / Dortmunder
26370	Dracula's Blood	4.40	Creature Comforts	Berliner Weisse
26371	Ichnusa Non Filtrata	5.00	Heineken Italia SpA	German Kellerbier / Zwickelbier
26372	Your Pet Cow (Barrel Aged)	7.00	DC Brau Brewing Co.	American Imperial Stout
26373	One Thing Led To Another	7.00	Beer'd Brewing Co.	American IPA
26374	Barrel Aged French Toast	10.00	Angry Chair Brewing	American Imperial Porter
26375	Donut Shack	7.10	Kane Brewing Company	American IPA
26376	Making Moves	6.75	Stoneyard Brewing Company	American IPA
26377	Cloud Ripper IPA	6.00	StormBreaker Brewing	American IPA
26378	Amber Ale	4.80	Starr Hill Brewery	Irish Red Ale
26379	The Fist	8.00	Stubborn Beauty Brewing Company	American Imperial IPA
26380	Easton Brown & Down	5.60	Weyerbacher Brewing Co.	American Brown Ale
26381	The Ocho (Formerly Fat 10'er 8)	6.80	New England Brewing Co.	American IPA
26382	Richter’s Pils	6.00	Goat Island Brewery	German Pilsner
26383	Honey Tripel	8.80	Independent Fermentations Brewing (IndieFerm)	Belgian Tripel
26384	Copper Legend Octoberfest	5.70	Jack's Abby Brewing	German Märzen / Oktoberfest
26385	Carboy Bebop	4.30	Canton Brew Works	American Amber / Red Ale
26386	Sleep When You're Dead Double IPA	8.30	Ballistic Beer Co.	American Imperial IPA
26387	Peanut Butter Jelly Time	5.75	Catawba Brewing Co.	American Brown Ale
26388	Put A Blueberry On It	3.50	Turning Point Beer	Berliner Weisse
26389	Pirkka III-olut	4.50	Olvi Oyj	European Pale Lager
26390	Triple Rambo	8.10	Four Sons Brewing	American Imperial IPA
26391	I.P.A.	7.20	Eel River Brewing Co.	English India Pale Ale (IPA)
26392	Blood Transfusion IPA	6.30	Track 7 Brewing Co.	American IPA
26393	Gabi Wit	5.00	The Proper Brewing Company	Belgian Witbier
26394	Trail Of Totality	5.50	Main & Mill Brewing Co.	American Wild Ale
26395	Double Dry Hopped Orange Starfish	5.70	Aslin Beer Company	New England IPA
26396	Wee Easy Scotch Ale	8.90	FigLeaf Brewing	Scotch Ale / Wee Heavy
26397	Sad Panda Coffee Stout	6.80	Horse & Dragon Brewing Company	American Stout
26398	Finally Legal	13.50	Weyerbacher Brewing Co.	American Imperial Stout
26399	"Komodo ""Koko"" Dragon Stout"	8.50	Dead Lizard Brewing Company	English Sweet / Milk Stout
26400	Deep Cocoa	8.50	Victory Brewing Company - Downingtown	Baltic Porter
26401	Al's Cask Ale	4.60	C'est What?	American Pale Ale (APA)
26402	Blood Simple	5.30	Beau's All Natural Brewing Company	Belgian Witbier
26403	Peanut Butter Chocolate Stencil Stout	7.30	River Rouge Brewing Company	American Stout
26404	SooFoo Whisker Brew	5.00	Remedy Brewing Company	American Blonde Ale
26405	Hazy Poppins	8.00	Marz Community Brewing	New England IPA
26406	Mango Mosaic	5.50	Breckenridge Brewery	American Pale Ale (APA)
26407	Anniversary Cake	9.20	Southern Grist Brewing Co.	American Imperial Stout
26408	High Tide IPA	6.20	Port Brewing	American IPA
26409	La Mule en Barrique Cuvée n°3	11.00	Brasserie La Vieille Mule	American Imperial Stout
26410	Killer Dismount	6.90	Alvarado Street Brewery	American IPA
26411	Two Headed Dog DIPA	8.40	Phantom Canyon Brewing Company	American Imperial IPA
26412	Frutteto	7.50	Captain Lawrence Brewing Co.	American Wild Ale
26413	Bittersweet Oatel	7.00	Blue Mountain Brewery	American Porter
26414	Kung Foo Elvis	6.30	Pizza Port Solana Beach	American Pale Ale (APA)
26415	Destination Unknown	8.00	Fieldwork Brewing Co.	American Imperial IPA
26416	Dark As Keji	6.50	Boxing Rock Brewing Co.	American Black Ale
26417	Ceremonial Session IPA - Mandarina	4.00	Burial Beer Co.	American IPA
26418	Southern Triangle	6.50	Rough Draft Brewing Company	American IPA
26419	That's My Jam	3.80	Owl's Brew Radler	Fruit and Field Beer
26420	Third Shift Amber Lager	5.30	Coors Brewing Company (Molson-Coors)	American Amber / Red Lager
26421	Ghosts in the Sky	8.00	Four Quarters Brewing Co.	American Imperial IPA
26422	Cryo Thing 2	8.20	Track 7 Brewing Co.	American Imperial IPA
26423	LaGrow Imperial Stout	8.80	LaGrow Organic Beer Company	American Imperial Stout
26424	Chrissie	4.20	SingleCut Beersmiths	Leipzig Gose
26425	Sheep Shagger Strong Scotch Ale	?	Supernatural Brewing and Spirits	Scotch Ale / Wee Heavy
26426	Stone Ground	3.70	Creature Comforts	German Pilsner
26427	Passionfruit Wheat Ale	5.00	Pasteur Street Brewing Company	Fruit and Field Beer
26428	Runes - Simcoe And Mosaic	6.40	Bellwoods Brewery	American IPA
26429	East Coast IPA	6.50	4 Mile Brewing Co.	American IPA
26430	Belgian IPA	?	Lazy Magnolia Brewing Company	Belgian IPA
26431	I-10 IPA	6.75	Intuition Ale Works	American IPA
26432	Sparks (Gnister)	5.60	Mikkeller Brewing San Diego	American Pale Ale (APA)
26433	Black Lab Stout	6.50	Lucky Labrador Brewing Company	Foreign / Export Stout
26434	Ibex Series: Single Malt Scottish Style Ale-Scotch Whiskey Barrel Aged	10.20	The Schlafly Tap Room	Scottish Ale
26435	Honey Bee Braggot	4.80	Barking Deer BrewPub	Belgian Witbier
26436	Apricot Au Poivre Saison - Reserve Series Aged In Chardonnay Barrels	6.80	Nebraska Brewing Company	Belgian Saison
26437	Mocha Merlin	5.50	Firestone Walker Brewing Co.	English Oatmeal Stout
26438	25th Anniversary Imperial Stout	10.00	Lakefront Brewery, Inc.	American Imperial Stout
26439	Mr. Blonde (2018)	4.50	To Øl	Leipzig Gose
26440	Boi Shortz Oat Pale Ale	4.50	Wiseacre Brewing	American Pale Ale (APA)
26441	Octopus On The Wall	10.80	Wynwood Brewing Company	American Imperial IPA
26442	Big Poppa - Biggie S’mores Imperial Stout	11.50	Three Notch'd Brewing Company - Charlottesville Brewery & Restaurant	American Imperial Stout
26443	Picnic Pale Ale	5.50	Prairie Artisan Ales	American Pale Ale (APA)
26444	7th Anniversary	9.50	Westbrook Brewing Co.	American Imperial Stout
26445	Fire Barrel Red IPA	5.60	Bent Water Brewing Company	Rye Beer
26446	Jack Of Clubs	4.50	Wild Card Brewery	American Amber / Red Ale
26447	Chardonnay Barrel Belgian Ale (Fall Migration)	7.20	Evolution Craft Brewing Company	Belgian Strong Pale Ale
26448	Glory	10.50	Northern Monk Brew Co.	American Imperial IPA
26449	St. Michaelsberg Hefe-Weissbier	5.30	Vejle Bryghus	German Hefeweizen
26450	Tanilla Porter	6.30	Knee Deep Brewing Company	American Porter
26451	Hazyish IPA	7.00	Avery Brewing Company	New England IPA
26452	Cascade / Bruery Terreux One Way or Another	7.90	Cascade Brewing / Raccoon Lodge & Brewpub	American Wild Ale
26453	Resolute Double Vanilla	13.50	Brothers Craft Brewing	Russian Imperial Stout
26454	Bitburger Drive	0.50	Bitburger Brauerei	Low Alcohol Beer
26455	Thunder Snow	8.50	MadTree Brewing	Scottish Ale
26456	Devil's Teeth - Bourbon Barrel-Aged With Hazelnut, Vanilla, and Coffee	13.50	Modern Times Beer	American Imperial Stout
26457	Downtown Nut Brown (D.T.B.)	5.50	Pearl Street Brewery	English Brown Ale
26458	BBK Pilsner	5.30	Radeberger Exportbierbrauerei	German Pilsner
26459	Trappistes Rochefort 8	9.20	Brasserie de Rochefort	Belgian Strong Dark Ale
26460	Spontane Wilde	7.40	Logsdon Farmhouse Ales	American Wild Ale
26461	Celebration Stout 	5.50	Victory Art Brew	English Oatmeal Stout
26462	Eclipse Black IPA	6.00	Palm Harbor Brewery	American Black Ale
26463	Cocoa Porter	5.70	Battle Hill Brewing Company	American Porter
26464	India Pale Ale	6.00	The Civil Life Brewing Company	American IPA
26465	Red Dwarf	5.00	Laughing Sun Brewing Company	Berliner Weisse
26466	Kettle Sour Series: Strawberry	4.50	Natchez Brewing Co.	Berliner Weisse
26467	Cinnamonk	12.10	Bruery Terreux	American Brown Ale
26468	Foggy Remedy (Hazy Pale Ale)	5.40	Abnormal Beer Company	American Pale Ale (APA)
26469	Fujizakura Kogen 20th IPL Autumn	6.50	Fujikankokaihatsu Co. Ltd. / Sylvans Restaurant	American Lager
26470	Sweet Potato Pecan Scotch Ale	7.70	Goliad Brewing Company	Scotch Ale / Wee Heavy
26471	The Huma League	7.00	Al's of Hampden / Pizza Boy Brewing	American IPA
26472	Lomaland	5.50	Modern Times Beer	Belgian Saison
26473	Willow Wolves	6.00	Acoustic Ales Brewing Experiment	American IPA
26474	Postglacial	7.00	HOMES Brewery	American Wild Ale
26475	Fickle Mistress	5.50	Block Three Brewing Co.	American Wild Ale
26476	Double Dry Hopped Space Diamonds	8.50	Other Half Brewing Co.	New England IPA
26477	Cuvée De Castleton	8.40	Captain Lawrence Brewing Co.	American Wild Ale
26478	Hallo Ich Bin Berliner Weisse - Passion Fruit	3.70	Mikkeller ApS	Berliner Weisse
26479	Maritime Black IPA	6.20	Grimross Brewing Co.	American IPA
26480	Macromutation	6.70	Speciation Artisan Ales	Belgian Saison
26481	Daylight Cravings	10.50	Brothers Craft Brewing	American Imperial Stout
26482	Barrel Aged Ruckus	10.00	Melvin Brewing / Thai Me Up	American Imperial Stout
26483	Saturn in Scorpio	7.50	Foreign Objects Beer Company	New England IPA
26484	Pallet 2	?	Peg's Cantina & Brew Pub	American Imperial Stout
26485	BRLO Pale Ale	6.00	BRLO	American Pale Ale (APA)
26486	Totally Fucking Entombed AD	13.00	WarPigs Brewpub	American Imperial Stout
26487	Sea Dog Raspberry Wheat Ale	4.50	Sea Dog Brewing Company	Fruit and Field Beer
26488	The Apprentice	7.20	Societe Brewing Co.	American IPA
26489	Prim	6.50	Upland Brewing Company	American Wild Ale
26490	Vimana	6.00	Forest & Main Brewing Company	Belgian Saison
26491	Carl - Triple Dry Hopped	7.00	Red Cypress Brewery	American IPA
26492	Prism	6.30	Night Shift Brewing	American IPA
26493	Single Shot - Burundi Jean Clement	6.40	Tree House Brewing Company	English Sweet / Milk Stout
26494	Cloud Catcher	6.80	Odell Brewing Company	New England IPA
26495	Monkeynaut IPA	7.25	Straight To Ale	American IPA
26496	Blackberry Rye	6.30	Blackberry Farm Brewery	Belgian Saison
26497	Terra Fúme	4.00	Earth Bread + Brewery	American Pale Wheat Ale
26498	Oude Rode Ogen	13.00	DuClaw Brewing Company	Belgian Quadrupel (Quad)
26499	Chrysalis into Beauty	9.00	Foreign Objects Beer Company	American Imperial IPA
26500	Mop Water	7.30	Cape May Brewing Company	Herb and Spice Beer
26501	You're a Towel!	7.60	The Answer Brewpub	American IPA
26502	Heineken Lager Beer	5.00	Heineken Nederland B.V.	European Pale Lager
26503	Hawkshead Brodie's Prime Export	8.50	Hawkshead Brewery / Staveley Brewery & Beer Hall	Foreign / Export Stout
26504	Beer Me	4.50	Odd Side Ales	American Lager
26505	Captain Kool IPA	7.50	Geaghan's Restaurant & Pub	American IPA
26506	Harry Tuttle	6.00	Barley Forge Brewing Co.	Belgian Saison
26507	Stargazer: Peanut Butter	9.00	B-52 Brewing Co.	American Imperial Stout
26508	Nocturnal Rainbow	5.90	Eleventh Hour Brewing Co.	English Sweet / Milk Stout
26509	Centennial-Hero	7.00	Revolution Brewing	American IPA
26510	Vera Mae	6.00	Hill Farmstead Brewery	Belgian Saison
26511	Watchtower Baltic Porter	9.10	Edge Brewing Company	Baltic Porter
26512	Cantillon Lou Pepe - Kriek	5.00	Brasserie Cantillon	Belgian Fruit Lambic
26513	Arrogant	6.00	Klausen Burger	English India Pale Ale (IPA)
26514	Bourbon White Russian Hornswoggler (2018)	8.50	The Veil Brewing Co.	American Imperial Stout
26515	Shishito Rice Ale (Heat Series)	5.30	Flying Dog Brewery	Chile Beer
26516	Crowd Pleaser	5.20	Three Creeks Brewing Co.	American Pale Ale (APA)
26517	Bumblestick Brown	5.10	Bhramari Brewing Co	American Brown Ale
26518	Dry-hopped Erastus	8.20	Schilling Beer Co.	Belgian Tripel
26519	Sea Hag IPA	6.20	New England Brewing Co.	American IPA
26520	Daddy Warbucks	9.00	Barrier Brewing Company	American Imperial IPA
26521	Oktoberfest	5.50	Koehler Brewing Company	German Märzen / Oktoberfest
26522	70 Shilling	3.81	Grist Iron Brewing Company	Scotch Ale / Wee Heavy
26523	Tod's Blonde	5.00	Little Valley Brewing Ltd	English Pale Ale
26524	Firestarter	?	Fat Bottom Brewing	English Porter
26525	Fourth Dementia - Bourbon Barrel-Aged	13.50	Kuhnhenn Brewing Company	English Old Ale
26526	Curiosity Fifty Five	7.90	Tree House Brewing Company	American Imperial IPA
26527	Overnight Sensation	6.50	Griffin Claw Brewing Company	Fruit and Field Beer
26528	Drizzy	8.90	Black Flag Brewing Company	American Imperial Stout
26529	Make The Galaxy Hazy Again	9.90	Barn Town Brewing	New England IPA
26530	Lucy Juicy DIPA	8.00	Solace Brewing	American Imperial IPA
26531	Blackberry Orange Pop!	4.80	Grimm Artisanal Ales	Berliner Weisse
26532	Hen's Tooth	6.50	Greene King / Morland Brewery	English Strong Ale
26533	Festbier	5.50	Wooly Pig Farm Brewery	German Märzen / Oktoberfest
26534	Pendragon	5.80	Royal Docks Brewing Company	Herb and Spice Beer
26535	Made In The Shade IPA	6.50	Broad Brook Brewing Company	American IPA
26536	Cannonball Kolsch	4.50	Molly Pitcher Brewing Company	German Kölsch
26537	Tr33 R3X	12.00	Taps Fish House & Brewery	American Imperial IPA
26538	Window Weather	10.00	Sori Brewing	American Barleywine
26539	Galactica - Double Dry Hopped	8.00	Clown Shoes	American Imperial IPA
26540	Progeny: No Raisins	10.00	Aslin Beer Company	American Imperial Stout
26541	Marsalkka Golden Ale	4.60	Saimaan Juomatehdas	American Blonde Ale
26542	Deep Dark Sea Bourbon Barrel Aged	10.10	Brokreacja	Baltic Porter
26543	Gumballhead	5.60	3 Floyds Brewing Co.	American Pale Wheat Ale
26544	Aim For The Fences!	7.90	Noble Ale Works	American IPA
26545	Air Ride	6.10	Redline Brewhouse	American IPA
26546	Silly Straw	4.00	Valiant Brewing Co.	American Wild Ale
26547	Concrete-A-Con	6.20	Concrete Beach Brewery	Belgian Saison
26548	Økologisk Pale Ale	5.90	Herslev Bryghus	English Pale Ale
26549	Etain Cafe - Mostra	15.60	The Bruery	English Old Ale
26550	Vanilla Beans	6.30	Trailway Brewing Co.	English Oatmeal Stout
26551	Hoptical Illusion	7.00	Blue Point Brewing Company	American IPA
26552	Argent	6.40	Corridor Brewery & Provisions	New England IPA
26553	Kilt Lifter Scottish Style Ale	6.00	Four Peaks Brewing Company - 8th Street Brewery	Scottish Ale
26554	Second Wave	8.00	Sand City Brewing Co.	American Imperial IPA
26555	Patersbier	5.60	Trillium Brewing Company	Belgian Pale Ale
26556	La Jolla Mosaic IPA	7.20	Rock Bottom Restaurant & Brewery	American IPA
26557	Crush City	7.00	Buffalo Bayou Brewing Co	American IPA
26558	Lunch Break (Session India Pale Ale)	4.70	Breakside Brewery	American IPA
26559	IPA	6.90	Kings County Brewers Collective (KCBC)	American IPA
26560	Pâle	6.00	de Garde Brewing	Belgian Saison
26561	Blueberry Flanders	7.00	Side Project Brewing	Flanders Red Ale
26562	Kritter IPA	7.80	Florida Keys Brewing Co.	American IPA
26563	La Binchoise Spéciale Noël	9.00	Brasserie La Binchoise (Malterie des Remparts)	Belgian Strong Dark Ale
